,x_query,y_query,x_train,y_train,Distance
Matches1,17.667308807373047,294.2077331542969,11.082269668579102,287.4214782714844,288.19610595703125
Matches2,22.00978660583496,267.6375427246094,23.882593154907227,269.3491516113281,158.45819091796875
Matches3,22.00978660583496,267.6375427246094,23.882593154907227,269.3491516113281,148.03378295898438
Matches4,22.786685943603516,296.0932312011719,15.864562034606934,289.3802795410156,208.7079315185547
Matches5,30.780065536499023,267.11810302734375,32.48484802246094,268.7176513671875,117.30728912353516
Matches6,39.83721160888672,269.6435546875,41.319950103759766,272.4304504394531,135.15916442871094
Matches7,39.83721160888672,269.6435546875,41.319950103759766,272.4304504394531,113.2519302368164
Matches8,45.196372985839844,255.1781768798828,46.25611877441406,255.9243621826172,70.37044525146484
Matches9,45.22481155395508,266.17559814453125,47.01673126220703,268.0598449707031,141.73919677734375
Matches10,45.934852600097656,227.06260681152344,48.32650375366211,232.27764892578125,166.955078125
Matches11,49.4205207824707,262.4166564941406,50.6382942199707,263.5083312988281,51.71073532104492
Matches12,53.02695846557617,260.3097229003906,54.0637092590332,261.1435241699219,90.07219696044922
Matches13,63.271392822265625,245.5491180419922,65.1182861328125,247.1744384765625,78.18567657470703
Matches14,63.271392822265625,245.5491180419922,65.1182861328125,247.1744384765625,79.17701721191406
Matches15,64.2403335571289,268.3248291015625,65.18902587890625,269.4897155761719,219.0205535888672
Matches16,66.095947265625,294.39239501953125,68.22278594970703,296.45281982421875,95.60334777832031
Matches17,67.52061462402344,120.62837219238281,67.16559600830078,120.5389633178711,107.3452377319336
Matches18,68.09638977050781,128.1255645751953,68.05534362792969,128.19798278808594,54.06477737426758
Matches19,70.43606567382812,250.05303955078125,72.38825988769531,251.99761962890625,57.22761535644531
Matches20,70.8897933959961,256.9549255371094,72.85909271240234,258.9815673828125,30.033315658569336
Matches21,74.23619079589844,243.86891174316406,76.09571075439453,246.18017578125,67.40177917480469
Matches22,74.68252563476562,150.33998107910156,74.73802947998047,150.78961181640625,120.96280670166016
Matches23,77.20641326904297,258.83197021484375,79.24734497070312,260.98876953125,45.7820930480957
Matches24,77.20641326904297,258.83197021484375,79.24734497070312,260.98876953125,49.62862014770508
Matches25,82.72186279296875,237.05294799804688,84.41106414794922,238.31430053710938,99.45853424072266
